id,audio_filepath,reference_transcript,speaklar_prediction,titu-large_prediction,titu-fast_prediction,indic-ctc_prediction,indic-rnnt_prediction
05010c9e7e,data/asr_bengali_1000_wav/05010c9e7e.wav,গড়ে তুলে,গড়ে তুলে,গড়ে তুলে,না গোড়ে তুলে এ নেই, গড়ে তুলে, গড়ে তুলে
0502473f56,data/asr_bengali_1000_wav/0502473f56.wav,কোনো প্রকার ত্রুটিবিচ্যুতিকে,কোন প্রকার ত্রুটিবচ্যুতিকে,কোন প্রকার ত্রুটিবিচ্যুতিকে,না কোন প্রকার থ্রু টি বি চু ত কে, কোনো প্রকার ত্রুটি বিচ্যুতিকে, কোনো প্রকার ত্রুটি বিচ্যুতিকে
0502d27c14,data/asr_bengali_1000_wav/0502d27c14.wav,কনকচাপা,কনক চাঁপা,কনকচাঁপা,না কন অোক চা পাা, কনক চাপা, কনক চাপা
0502e83d30,data/asr_bengali_1000_wav/0502e83d30.wav,এখন ধর্মান্ধতার কোথায় পৌঁছেছে,এখন ধর্মান্ধতার কোথায় পৌঁছেছে,এখন ধর্মান্ধতার কোথায় পৌঁছেছে,এক না না না আছে আছে না না এখন ধর মান ধ তার আর কো থ হ পৌঁছে আছে আছে আর, এখন ধর্মান্ধতার কোথায় পৌঁছেছে, এখন ধর্মান্ধতার কোথায় পৌঁছেছে
05049c46da,data/asr_bengali_1000_wav/05049c46da.wav,পেতে চলেছে ২৪টি আসন,পেতে চলেছে চব্বিশ টি আসন,পেতে চলেছে চব্বিশ টি আসন,পেতে চলেছে চব্বিশ টি আসন, পেতে চলেছে চব্বিশ টি আসন, পেতে চলেছে চব্বিশ টি আসন
05065f13c0,data/asr_bengali_1000_wav/05065f13c0.wav,এলিমিনেটর ম্যাচের,এলিমিনেটের ম্যাচের,এলিমিনেটের ম্যাচের,এই এই মিনিট টের ম্যাচের, এ লিমিনেটের ম্যাচের, এ লিমিনেটের ম্যাচের
0506f3d1d1,data/asr_bengali_1000_wav/0506f3d1d1.wav,নিখোঁজ হয়ে যাওয়ার পর,নিখোঁজ হয়ে যাওয়ার পর,নিখোঁজ হয়ে যাওয়ার পর,নি খোঁজ হয়ে যা আর পর, নিখোঁজ হয়ে যাওয়ার পর, নিখোঁজ হয়ে যাওয়ার পর
0507920d96,data/asr_bengali_1000_wav/0507920d96.wav,সফল একটি সমাপ্তি,সফল একটি সমাপ্তি,সফল একটি সমাপ্তি,না সব ফল এক একটি সম ম দি, সফল একটি সমাপ্তি, সফল একটি সমাপ্তি
050811a74a,data/asr_bengali_1000_wav/050811a74a.wav,অনেক চাষীর,অনেক চাষীর,অনেক চাষীর,না হ আছে আছে আছে না না ও অন অনেক ই কি চা সেট ড হ, অনেক চাষের, অনেক চাষের
05083caff7,data/asr_bengali_1000_wav/05083caff7.wav,তাদের জন্য,তাদের জন্য,তাদের জন্য,না তাদের এ জন্য না, তাদের জন্য, তাদের জন্য
